0	0	97.8928
0	1	98.3712
0	2	103.401
0	3	99.6075
0	4	93.7036
0	5	99.3902
0	6	115.035
0	7	108.472
1	0	103.72
1	1	111.749
1	2	104.698
1	3	101.285
1	4	99.0804
1	5	106.742
1	6	111.265
1	7	104.201
2	0	102.443
2	1	102.641
2	2	104.659
2	3	107.697
2	4	103.282
2	5	100.298
2	6	106.255
2	7	93.6315
3	0	110.417
3	1	105.662
3	2	101.644
3	3	108.628
3	4	104.012
3	5	100.676
3	6	105.311
3	7	102.85
4	0	98.8951
4	1	93.5206
4	2	121.337
4	3	115.504
4	4	101.912
4	5	103.473
4	6	100.268
4	7	107.939
5	0	95.1226
5	1	92.061
5	2	115.621
5	3	114.623
5	4	111.212
5	5	116.891
5	6	107.423
5	7	104.982
6	0	106.62
6	1	104.297
6	2	123.07
6	3	131.951
6	4	123.673
6	5	110.013
6	6	108.123
6	7	98.1477
7	0	112.318
7	1	103.343
7	2	118.996
7	3	116.774
7	4	125.357
7	5	113.198
7	6	111.931
7	7	100.73
