7	0	32.026
7	1	46.7363
7	2	39.5767
7	3	55.4047
7	4	60.6459
7	5	49.4272
7	6	54.1529
7	7	48.0302
6	0	43.5736
6	1	51.8789
6	2	37.2686
6	3	56.2324
6	4	49.9969
6	5	45.0226
6	6	49.6675
6	7	51.0415
5	0	43.8855
5	1	57.7296
5	2	56.0319
5	3	49.7631
5	4	43.9101
5	5	47.8221
5	6	60.851
5	7	80.8098
4	0	48.0645
4	1	42.5585
4	2	45.9089
4	3	53.522
4	4	49.1431
4	5	49.71
4	6	65.9006
4	7	74.0389
3	0	52.467
3	1	51.8649
3	2	45.3435
3	3	54.2743
3	4	65.8377
3	5	46.5089
3	6	50.7071
3	7	76.1803
2	0	52.1967
2	1	54.6329
2	2	46.892
2	3	54.5419
2	4	59.7716
2	5	38.5507
2	6	51.6663
2	7	76.4098
1	0	52.2707
1	1	49.2512
1	2	58.4335
1	3	60.5257
1	4	52.1858
1	5	43.8919
1	6	50.8724
1	7	60.8754
0	0	47.2051
0	1	33.265
0	2	36.5182
0	3	41.9689
0	4	47.3397
0	5	42.6218
0	6	47.0212
0	7	43.1492
