7	0	34.1214
7	1	43.9407
7	2	44.04
7	3	50.8094
7	4	67.7337
7	5	58.0846
7	6	64.3008
7	7	69.4843
6	0	49.9377
6	1	52.7276
6	2	38.5093
6	3	65.2631
6	4	52.2645
6	5	58.2733
6	6	63.7663
6	7	102.125
5	0	48.3404
5	1	56.4713
5	2	56.5462
5	3	56.856
5	4	48.9952
5	5	63.562
5	6	78.8072
5	7	105.321
4	0	51.71
4	1	47.2507
4	2	46.1806
4	3	61.8973
4	4	64.8798
4	5	66.219
4	6	90.5718
4	7	107.657
3	0	55.5419
3	1	59.3938
3	2	48.9406
3	3	62.1177
3	4	78.5874
3	5	54.2098
3	6	69.0955
3	7	103.845
2	0	56.1229
2	1	59.5257
2	2	53.8712
2	3	62.9102
2	4	70.3461
2	5	54.5714
2	6	65.9239
2	7	134.366
1	0	57.291
1	1	59.8821
1	2	63.245
1	3	70.6817
1	4	61.8296
1	5	54.7538
1	6	67.6051
1	7	83.6438
0	0	56.9585
0	1	35.922
0	2	45.9291
0	3	57.7169
0	4	53.8428
0	5	56.7927
0	6	65.8875
0	7	59.2053
