ID,Radius,Pad,U,G,Pin,PinColID,PinRowID,FEE,FEE_Connector,FEE_Chan
233,2,7,2,1,F13,5,13,7.0,J1,43
160,2,8,2,1,C12,2,12,7.0,J1,51
184,2,9,2,1,D12,3,12,7.0,J1,48
232,2,10,2,1,F12,5,12,7.0,J1,46
231,2,11,2,1,F11,5,11,7.0,J1,53
230,2,12,2,1,F10,5,10,7.0,J1,56
135,2,13,2,1,B11,1,11,7.0,J1,57
159,2,14,2,1,C11,2,11,7.0,J1,54
183,2,15,2,1,D11,3,11,7.0,J1,55
419,2,16,4,1,C15,2,15,6.0,J1,34
443,2,17,4,1,D15,3,15,6.0,J1,35
491,2,18,4,1,F15,5,15,6.0,J1,33
418,2,19,4,1,C14,2,14,6.0,J1,41
490,2,20,4,1,F14,5,14,6.0,J1,36
417,2,21,4,1,C13,2,13,6.0,J1,44
465,2,22,4,1,E13,4,13,6.0,J1,42
489,2,23,4,1,F13,5,13,6.0,J1,43
416,2,24,4,1,C12,2,12,6.0,J1,51
464,2,25,4,1,E12,4,12,6.0,J1,49
391,2,26,4,1,B11,1,11,6.0,J1,57
415,2,27,4,1,C11,2,11,6.0,J1,54
439,2,28,4,1,D11,3,11,6.0,J1,55
463,2,29,4,1,E11,4,11,6.0,J1,52
487,2,30,4,1,F11,5,11,6.0,J1,53
488,2,31,4,1,F12,5,12,6.0,J1,46
675,2,32,6,1,C15,2,15,5.0,J1,34
699,2,33,6,1,D15,3,15,5.0,J1,35
747,2,34,6,1,F15,5,15,5.0,J1,33
674,2,35,6,1,C14,2,14,5.0,J1,41
649,2,36,6,1,B13,1,13,5.0,J1,47
697,2,37,6,1,D13,3,13,5.0,J1,45
696,2,38,6,1,D12,3,12,5.0,J1,48
647,2,39,6,1,B11,1,11,5.0,J1,57
671,2,40,6,1,C11,2,11,5.0,J1,54
695,2,41,6,1,D11,3,11,5.0,J1,55
719,2,42,6,1,E11,4,11,5.0,J1,52
743,2,43,6,1,F11,5,11,5.0,J1,53
720,2,44,6,1,E12,4,12,5.0,J1,49
744,2,45,6,1,F12,5,12,5.0,J1,46
763,2,46,6,1,F9,5,9,5.0,J1,63
746,2,47,6,1,F14,5,14,5.0,J1,36
906,2,48,8,1,B14,1,14,4.0,J1,40
929,2,49,8,1,C13,2,13,4.0,J1,44
953,2,50,8,1,D13,3,13,4.0,J1,45
952,2,51,8,1,D12,3,12,4.0,J1,48
903,2,52,8,1,B11,1,11,4.0,J1,57
927,2,53,8,1,C11,2,11,4.0,J1,54
951,2,54,8,1,D11,3,11,4.0,J1,55
975,2,55,8,1,E11,4,11,4.0,J1,52
999,2,56,8,1,F11,5,11,4.0,J1,53
976,2,57,8,1,E12,4,12,4.0,J1,49
1000,2,58,8,1,F12,5,12,4.0,J1,46
1001,2,59,8,1,F13,5,13,4.0,J1,43
978,2,60,8,1,E14,4,14,4.0,J1,39
1002,2,61,8,1,F14,5,14,4.0,J1,36
931,2,62,8,1,C15,2,15,4.0,J1,34
979,2,63,8,1,E15,4,15,4.0,J1,32
1160,2,64,10,1,B12,1,12,3.0,J1,50
1159,2,65,10,1,B11,1,11,3.0,J1,57
1183,2,66,10,1,C11,2,11,3.0,J1,54
1207,2,67,10,1,D11,3,11,3.0,J1,55
1231,2,68,10,1,E11,4,11,3.0,J1,52
1255,2,69,10,1,F11,5,11,3.0,J1,53
1208,2,70,10,1,D12,3,12,3.0,J1,48
1232,2,71,10,1,E12,4,12,3.0,J1,49
1185,2,72,10,1,C13,2,13,3.0,J1,44
1233,2,73,10,1,E13,4,13,3.0,J1,42
1275,2,74,10,1,F9,5,9,3.0,J1,63
1162,2,75,10,1,B14,1,14,3.0,J1,40
1210,2,76,10,1,D14,3,14,3.0,J1,38
1258,2,77,10,1,F14,5,14,3.0,J1,36
1187,2,78,10,1,C15,2,15,3.0,J1,34
1235,2,79,10,1,E15,4,15,3.0,J1,32
1439,2,80,12,1,C11,2,11,2.0,J1,54
1463,2,81,12,1,D11,3,11,2.0,J1,55
1487,2,82,12,1,E11,4,11,2.0,J1,52
1511,2,83,12,1,F11,5,11,2.0,J1,53
1414,2,84,12,1,B10,1,10,2.0,J1,60
1415,2,85,12,1,B11,1,11,2.0,J1,57
1440,2,86,12,1,C12,2,12,2.0,J1,51
1488,2,87,12,1,E12,4,12,2.0,J1,49
1441,2,88,12,1,C13,2,13,2.0,J1,44
1465,2,89,12,1,D13,3,13,2.0,J1,45
1531,2,90,12,1,F9,5,9,2.0,J1,63
1418,2,91,12,1,B14,1,14,2.0,J1,40
1466,2,92,12,1,D14,3,14,2.0,J1,38
1514,2,93,12,1,F14,5,14,2.0,J1,36
1467,2,94,12,1,D15,3,15,2.0,J1,35
1491,2,95,12,1,E15,4,15,2.0,J1,32
1767,2,96,14,1,F11,5,11,1.0,J1,53
