ID,Radius,Pad,U,G,Pin,PinColID,PinRowID,FEE,FEE_Connector,FEE_Chan
1504,-1,0,0,0,,0,0,5.0,J1,0
1505,-1,1,0,0,,0,0,5.0,J1,1
1506,-1,2,0,0,,0,0,5.0,J1,2
1507,-1,3,0,0,,0,0,5.0,J1,3
1508,-1,4,0,0,,0,0,5.0,J1,4
1509,-1,5,0,0,,0,0,5.0,J1,5
1510,-1,6,0,0,,0,0,5.0,J1,6
1511,-1,7,0,0,,0,0,5.0,J1,7
1512,-1,8,0,0,,0,0,5.0,J1,8
1513,-1,9,0,0,,0,0,5.0,J1,9
1514,-1,10,0,0,,0,0,5.0,J1,10
1515,-1,11,0,0,,0,0,5.0,J1,11
1516,-1,12,0,0,,0,0,5.0,J1,12
1517,-1,13,0,0,,0,0,5.0,J1,13
1518,-1,14,0,0,,0,0,5.0,J1,14
1519,-1,15,0,0,,0,0,5.0,J1,15
1520,-1,16,0,0,,0,0,5.0,J1,16
1521,-1,17,0,0,,0,0,5.0,J1,17
1522,-1,18,0,0,,0,0,5.0,J1,18
1523,-1,19,0,0,,0,0,5.0,J1,19
1524,-1,20,0,0,,0,0,5.0,J1,20
1525,-1,21,0,0,,0,0,5.0,J1,21
1526,-1,22,0,0,,0,0,5.0,J1,22
1527,-1,23,0,0,,0,0,5.0,J1,23
1528,-1,24,0,0,,0,0,5.0,J1,24
1529,-1,25,0,0,,0,0,5.0,J1,25
1530,-1,26,0,0,,0,0,5.0,J1,26
1531,-1,27,0,0,,0,0,5.0,J1,27
1532,-1,28,0,0,,0,0,5.0,J1,28
1533,-1,29,0,0,,0,0,5.0,J1,29
1534,-1,30,0,0,,0,0,5.0,J1,30
1535,-1,31,0,0,,0,0,5.0,J1,31
26,0,0,1,1,C5,2,5,5.0,J2,147
1,0,1,1,1,B4,1,4,5.0,J2,153
353,0,2,4,1,B4,1,4,4.0,J1,25
378,0,3,4,1,C5,2,5,4.0,J1,19
356,0,4,4,1,B7,1,7,4.0,J1,8
381,0,5,4,1,C8,2,8,4.0,J1,2
129,0,6,2,1,B11,1,11,5.0,J1,57
148,0,7,2,1,C12,2,12,5.0,J1,51
132,0,8,2,1,B14,1,14,5.0,J1,40
151,0,9,2,1,C15,2,15,5.0,J1,34
135,0,10,2,1,B18,1,18,5.0,J1,89
154,0,11,2,1,C19,2,19,5.0,J1,83
138,0,12,2,1,B21,1,21,5.0,J1,72
157,0,13,2,1,C22,2,22,5.0,J1,66
141,0,14,2,1,B25,1,25,5.0,J1,121
160,0,15,2,1,C26,2,26,5.0,J1,115
144,0,16,2,1,B28,1,28,5.0,J1,104
163,0,17,2,1,C29,2,29,5.0,J1,98
359,0,18,4,1,B11,1,11,4.0,J1,57
384,0,19,4,1,C12,2,12,4.0,J1,51
362,0,20,4,1,B14,1,14,4.0,J1,40
387,0,21,4,1,C15,2,15,4.0,J1,34
365,0,22,4,1,B18,1,18,4.0,J1,89
390,0,23,4,1,C19,2,19,4.0,J1,83
368,0,24,4,1,B21,1,21,4.0,J1,72
393,0,25,4,1,C22,2,22,4.0,J1,66
371,0,26,4,1,B25,1,25,4.0,J1,121
396,0,27,4,1,C26,2,26,4.0,J1,115
374,0,28,4,1,B28,1,28,4.0,J1,104
399,0,29,4,1,C29,2,29,4.0,J1,98
618,0,30,6,1,B14,1,14,3.0,J1,40
643,0,31,6,1,C15,2,15,3.0,J1,34
621,0,32,6,1,B18,1,18,3.0,J1,89
646,0,33,6,1,C19,2,19,3.0,J1,83
624,0,34,6,1,B21,1,21,3.0,J1,72
649,0,35,6,1,C22,2,22,3.0,J1,66
627,0,36,6,1,B25,1,25,3.0,J1,121
652,0,37,6,1,C26,2,26,3.0,J1,115
630,0,38,6,1,B28,1,28,3.0,J1,104
655,0,39,6,1,C29,2,29,3.0,J1,98
687,0,40,6,1,E11,4,11,3.0,J1,52
730,0,41,6,1,E9,4,9,3.0,J1,62
684,0,42,6,1,E7,4,7,3.0,J1,7
729,0,43,6,1,F2,5,2,3.0,J1,31
681,0,44,6,1,E4,4,4,3.0,J1,20
728,0,45,6,1,E2,4,2,3.0,J1,30
883,0,46,8,1,B25,1,25,2.0,J1,121
908,0,47,8,1,C26,2,26,2.0,J1,115
886,0,48,8,1,B28,1,28,2.0,J1,104
911,0,49,8,1,C29,2,29,2.0,J1,98
952,0,50,8,1,E21,4,21,2.0,J1,71
989,0,51,8,1,F16,5,16,2.0,J1,95
949,0,52,8,1,E18,4,18,2.0,J1,84
988,0,53,8,1,E16,4,16,2.0,J1,94
946,0,54,8,1,E14,4,14,2.0,J1,39
987,0,55,8,1,F9,5,9,2.0,J1,63
943,0,56,8,1,E11,4,11,2.0,J1,52
986,0,57,8,1,E9,4,9,2.0,J1,62
940,0,58,8,1,E7,4,7,2.0,J1,7
985,0,59,8,1,F2,5,2,2.0,J1,31
937,0,60,8,1,E4,4,4,2.0,J1,20
984,0,61,8,1,E2,4,2,2.0,J1,30
1214,0,62,10,1,E28,4,28,1.0,J1,103
1247,0,63,10,1,F23,5,23,1.0,J1,127
1211,0,64,10,1,E25,4,25,1.0,J1,116
1246,0,65,10,1,E23,4,23,1.0,J1,126
1208,0,66,10,1,E21,4,21,1.0,J1,71
1245,0,67,10,1,F16,5,16,1.0,J1,95
1205,0,68,10,1,E18,4,18,1.0,J1,84
1244,0,69,10,1,E16,4,16,1.0,J1,94
1202,0,70,10,1,E14,4,14,1.0,J1,39
1243,0,71,10,1,F9,5,9,1.0,J1,63
1199,0,72,10,1,E11,4,11,1.0,J1,52
1242,0,73,10,1,E9,4,9,1.0,J1,62
1196,0,74,10,1,E7,4,7,1.0,J1,7
1241,0,75,10,1,F2,5,2,1.0,J1,31
1193,0,76,10,1,E4,4,4,1.0,J1,20
1240,0,77,10,1,E2,4,2,1.0,J1,30
1470,0,78,12,1,E28,4,28,0.0,J1,103
1503,0,79,12,1,F23,5,23,0.0,J1,127
1467,0,80,12,1,E25,4,25,0.0,J1,116
1502,0,81,12,1,E23,4,23,0.0,J1,126
1464,0,82,12,1,E21,4,21,0.0,J1,71
1501,0,83,12,1,F16,5,16,0.0,J1,95
1461,0,84,12,1,E18,4,18,0.0,J1,84
1500,0,85,12,1,E16,4,16,0.0,J1,94
1458,0,86,12,1,E14,4,14,0.0,J1,39
1499,0,87,12,1,F9,5,9,0.0,J1,63
1455,0,88,12,1,E11,4,11,0.0,J1,52
