0	0	1.178575
0	1	1.058090
0	2	0.978614
0	3	1.024647
0	4	1.120491
0	5	1.059578
0	6	1.139427
0	7	1.128289
1	0	1.148007
1	1	0.996113
1	2	0.998666
1	3	0.911816
1	4	0.921368
1	5	1.052173
1	6	1.011551
1	7	1.109010
2	0	1.242034
2	1	1.161892
2	2	1.011336
2	3	0.944621
2	4	1.165723
2	5	1.115804
2	6	1.045845
2	7	1.229669
3	0	1.231280
3	1	1.199917
3	2	1.038963
3	3	1.056007
3	4	1.147644
3	5	1.122892
3	6	1.145973
3	7	1.269080
4	0	1.105326
4	1	1.062210
4	2	1.066381
4	3	1.059792
4	4	1.080456
4	5	1.051354
4	6	1.001921
4	7	1.137742
5	0	1.029854
5	1	0.982848
5	2	1.030897
5	3	1.065228
5	4	1.187251
5	5	1.051529
5	6	0.994035
5	7	1.103568
6	0	1.054860
6	1	0.989777
6	2	0.740063
6	3	0.723663
6	4	0.995865
6	5	0.991435
6	6	0.810592
6	7	1.019898
7	0	1.234245
7	1	1.050144
7	2	0.802557
7	3	0.825353
7	4	1.039284
7	5	1.160474
7	6	0.907261
7	7	1.098500
